2022-01-21 17:53:07.675 | INFO     | project.utils.scan:__synchronous_way:476 - Using synchronous scan
2022-01-21 17:53:07.692 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:447 - Starting to launch threads based on your cpu
2022-01-21 17:57:10.432 | INFO     | project.utils.scan:__synchronous_way:475 - Using synchronous scan
2022-01-21 17:57:10.463 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:446 - Starting to launch threads based on your cpu
2022-01-21 18:32:34.884 | INFO     | project.utils.scan:__synchronous_way:475 - Using synchronous scan
2022-01-21 18:32:34.899 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:446 - Starting to launch threads based on your cpu
2022-01-21 18:35:52.340 | INFO     | project.utils.scan:__synchronous_way:475 - Using synchronous scan
2022-01-21 18:35:52.373 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:446 - Starting to launch threads based on your cpu
2022-01-21 18:49:23.681 | WARNING  | project.utils.scan:__show_scan_info:235 - the analysis of this 192.168.253.0/24 has not collected any information or no scan has been performed with it yet
2022-01-21 18:50:31.757 | INFO     | project.utils.scan:__synchronous_way:473 - Using synchronous scan
2022-01-21 18:50:31.798 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:444 - Starting to launch threads based on your cpu
2022-01-21 18:56:09.627 | INFO     | project.utils.scan:__synchronous_way:475 - Using synchronous scan
2022-01-21 18:56:09.639 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:446 - Starting to launch threads based on your cpu
2022-01-21 18:59:01.225 | INFO     | project.utils.scan:__synchronous_way:476 - Using synchronous scan
2022-01-21 18:59:01.260 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:447 - Starting to launch threads based on your cpu
2022-01-21 19:00:26.234 | SUCCESS  | project.utils.scan:__set_up_scan_actions_synchronous:469 - Synchronous scanning has been completed
2022-01-21 19:00:29.863 | WARNING  | project.utils.scan:__show_scan_info:235 - the analysis of this 192.168.253.0/24 has not collected any information or no scan has been performed with it yet
2022-01-21 19:00:37.235 | WARNING  | project.utils.scan:__show_scan_info:235 - the analysis of this 192.168.253.0/24 has not collected any information or no scan has been performed with it yet
2022-01-21 19:01:43.472 | WARNING  | project.utils.scan:__show_scan_info:237 - the analysis of this 192.168.253.0/24 has not collected any information or no scan has been performed with it yet
2022-01-21 19:04:31.402 | INFO     | project.utils.scan:__synchronous_way:476 - Using synchronous scan
2022-01-21 19:04:31.416 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:447 - Starting to launch threads based on your cpu
2022-01-21 19:05:58.034 | SUCCESS  | project.utils.scan:__set_up_scan_actions_synchronous:469 - Synchronous scanning has been completed
2022-01-21 19:06:02.266 | WARNING  | project.utils.scan:__show_scan_info:237 - the analysis of this 192.168.253.0/24 has not collected any information or no scan has been performed with it yet
2022-01-21 19:11:55.182 | INFO     | project.utils.scan:__synchronous_way:480 - Using synchronous scan
2022-01-21 19:11:55.191 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:451 - Starting to launch threads based on your cpu
2022-01-21 19:13:21.223 | SUCCESS  | project.utils.scan:__set_up_scan_actions_synchronous:473 - Synchronous scanning has been completed
2022-01-21 19:13:59.251 | WARNING  | project.utils.scan:__show_scan_info:237 - the analysis of this 192.168.253.0/24 has not collected any information or no scan has been performed with it yet
2022-01-21 19:14:27.854 | INFO     | project.utils.scan:__synchronous_way:480 - Using synchronous scan
2022-01-21 19:14:27.865 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:451 - Starting to launch threads based on your cpu
2022-01-21 19:15:54.106 | SUCCESS  | project.utils.scan:__set_up_scan_actions_synchronous:473 - Synchronous scanning has been completed
2022-01-21 19:16:18.781 | WARNING  | project.utils.scan:__show_scan_info:237 - the analysis of this 192.168.253.0/24 has not collected any information or no scan has been performed with it yet
2022-01-21 19:26:43.265 | INFO     | project.utils.scan:__synchronous_way:480 - Using synchronous scan
2022-01-21 19:26:43.306 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:451 - Starting to launch threads based on your cpu
2022-01-21 19:28:11.315 | SUCCESS  | project.utils.scan:__set_up_scan_actions_synchronous:473 - Synchronous scanning has been completed
2022-01-21 19:32:29.360 | INFO     | project.utils.scan:__synchronous_way:481 - Using synchronous scan
2022-01-21 19:32:29.372 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:452 - Starting to launch threads based on your cpu
2022-01-21 19:33:57.380 | SUCCESS  | project.utils.scan:__set_up_scan_actions_synchronous:474 - Synchronous scanning has been completed
2022-01-21 19:34:01.814 | WARNING  | project.utils.scan:__show_scan_info:237 - the analysis of this 192.168.253.0/24 has not collected any information or no scan has been performed with it yet
2022-01-22 16:24:06.036 | INFO     | project.utils.scan:__synchronous_way:482 - Using synchronous scan
2022-01-22 16:24:06.096 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:453 - Starting to launch threads based on your cpu
2022-01-22 16:25:30.655 | SUCCESS  | project.utils.scan:__set_up_scan_actions_synchronous:475 - Synchronous scanning has been completed
2022-01-22 16:25:35.614 | WARNING  | project.utils.scan:__show_scan_info:237 - the analysis of this 192.168.253.0/24 has not collected any information or no scan has been performed with it yet
2022-01-22 16:28:07.321 | INFO     | project.utils.scan:__synchronous_way:480 - Using synchronous scan
2022-01-22 16:28:07.331 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:451 - Starting to launch threads based on your cpu
2022-01-22 16:30:29.882 | INFO     | project.utils.scan:__synchronous_way:480 - Using synchronous scan
2022-01-22 16:30:29.892 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:451 - Starting to launch threads based on your cpu
2022-01-22 16:32:48.283 | INFO     | project.utils.scan:__synchronous_way:482 - Using synchronous scan
2022-01-22 16:32:48.294 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:453 - Starting to launch threads based on your cpu
2022-01-22 16:35:13.446 | INFO     | project.utils.scan:__synchronous_way:482 - Using synchronous scan
2022-01-22 16:35:13.463 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:453 - Starting to launch threads based on your cpu
2022-01-22 16:36:37.926 | SUCCESS  | project.utils.scan:__set_up_scan_actions_synchronous:475 - Synchronous scanning has been completed
2022-01-22 16:39:05.920 | INFO     | project.utils.scan:__synchronous_way:484 - Using synchronous scan
2022-01-22 16:39:05.963 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:455 - Starting to launch threads based on your cpu
2022-01-22 16:40:30.449 | SUCCESS  | project.utils.scan:__set_up_scan_actions_synchronous:477 - Synchronous scanning has been completed
2022-01-22 16:41:05.221 | INFO     | project.utils.scan:__synchronous_way:487 - Using synchronous scan
2022-01-22 16:41:05.235 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:458 - Starting to launch threads based on your cpu
2022-01-22 16:42:29.633 | SUCCESS  | project.utils.scan:__set_up_scan_actions_synchronous:480 - Synchronous scanning has been completed
2022-01-22 17:53:23.408 | INFO     | project.utils.scan:__synchronous_way:492 - Using synchronous scan
2022-01-22 17:53:23.446 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:465 - Starting to launch threads based on your cpu
2022-01-22 17:54:49.090 | SUCCESS  | project.utils.scan:__set_up_scan_actions_synchronous:487 - Synchronous scanning has been completed
2022-01-22 17:55:12.569 | WARNING  | project.utils.scan:__show_scan_info:249 - the analysis of this 192.168.253.0/24 has not collected any information or no scan has been performed with it yet
2022-01-22 17:56:29.317 | INFO     | project.utils.scan:__synchronous_way:492 - Using synchronous scan
2022-01-22 17:56:29.352 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:465 - Starting to launch threads based on your cpu
2022-01-22 17:57:53.750 | SUCCESS  | project.utils.scan:__set_up_scan_actions_synchronous:487 - Synchronous scanning has been completed
2022-01-22 17:58:19.377 | INFO     | project.utils.scan:__synchronous_way:492 - Using synchronous scan
2022-01-22 17:58:19.393 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:465 - Starting to launch threads based on your cpu
2022-01-22 17:59:43.771 | SUCCESS  | project.utils.scan:__set_up_scan_actions_synchronous:487 - Synchronous scanning has been completed
2022-01-22 18:07:48.284 | INFO     | project.utils.scan:__synchronous_way:492 - Using synchronous scan
2022-01-22 18:07:48.297 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:465 - Starting to launch threads based on your cpu
2022-01-22 18:16:23.769 | INFO     | project.utils.scan:__synchronous_way:494 - Using synchronous scan
2022-01-22 18:16:23.783 | INFO     | project.utils.scan:__set_up_scan_actions_synchronous:467 - Starting to launch threads based on your cpu
2022-01-22 18:17:43.665 | INFO     | project.utils.scan:__start_scan:517 - Starting to launch threads based on your cpu

2022-01-22 18:17:43.666 | INFO     | project.utils.scan:__synchronous_way:490 - Using synchronous scan
2022-01-22 18:23:42.797 | INFO     | project.utils.scan:__start_scan:521 - Starting to launch threads based on your cpu

2022-01-22 18:23:42.800 | INFO     | project.utils.scan:__synchronous_way:494 - Using synchronous scan
2022-01-22 18:28:09.297 | INFO     | project.utils.scan:__start_scan:526 - Starting to launch threads based on your cpu
2022-01-22 18:28:09.299 | INFO     | project.utils.scan:__synchronous_way:499 - Using synchronous scan
2022-01-22 18:29:31.785 | INFO     | project.utils.scan:__start_scan:523 - Starting to launch threads based on your cpu
2022-01-22 18:29:31.786 | INFO     | project.utils.scan:__asynchronous_way:393 - Using asynchronous scan.
2022-01-22 18:29:31.787 | INFO     | project.utils.scan:__asynchronous_way:394 - [32mStarting... The messeges will be displayed as new computer is found[39m
2022-01-23 18:28:21.721 | INFO     | project.utils.scan:__start_scan:550 - Starting to launch threads based on your cpu
2022-01-23 18:28:21.722 | INFO     | project.utils.scan:__synchronous_way:523 - Using synchronous scan
2022-01-23 18:29:46.103 | SUCCESS  | project.utils.scan:__set_up_scan_actions_synchronous:518 - Synchronous scanning has been completed
2022-01-23 18:30:08.958 | INFO     | project.utils.scan:__start_scan:550 - Starting to launch threads based on your cpu
2022-01-23 18:30:08.961 | INFO     | project.utils.scan:__synchronous_way:523 - Using synchronous scan
2022-01-23 18:31:33.344 | SUCCESS  | project.utils.scan:__set_up_scan_actions_synchronous:518 - Synchronous scanning has been completed
2022-01-23 19:08:08.327 | INFO     | project.utils.scan:__start_scan:550 - Starting to launch threads based on your cpu
2022-01-23 19:08:08.328 | INFO     | project.utils.scan:__synchronous_way:523 - Using synchronous scan
2022-01-23 19:09:25.400 | INFO     | project.utils.scan:__start_scan:550 - Starting to launch threads based on your cpu
2022-01-23 19:09:25.401 | INFO     | project.utils.scan:__synchronous_way:523 - Using synchronous scan
2022-01-23 19:11:27.359 | INFO     | project.utils.scan:__start_scan:550 - Starting to launch threads based on your cpu
2022-01-23 19:11:27.360 | INFO     | project.utils.scan:__synchronous_way:523 - Using synchronous scan
2022-01-23 19:13:13.683 | INFO     | project.utils.scan:__start_scan:550 - Starting to launch threads based on your cpu
2022-01-23 19:13:13.684 | INFO     | project.utils.scan:__synchronous_way:523 - Using synchronous scan
2022-01-23 19:15:18.452 | INFO     | project.utils.scan:__start_scan:550 - Starting to launch threads based on your cpu
2022-01-23 19:15:18.453 | INFO     | project.utils.scan:__synchronous_way:523 - Using synchronous scan
2022-01-23 19:24:09.175 | INFO     | project.utils.scan:__start_scan:552 - Starting to launch threads based on your cpu
2022-01-23 19:24:09.177 | INFO     | project.utils.scan:__synchronous_way:523 - Using synchronous scan
2022-01-23 20:32:50.166 | INFO     | project.utils.scan:__start_scan:552 - Starting to launch threads based on your cpu
2022-01-23 20:32:50.168 | INFO     | project.utils.scan:__synchronous_way:523 - Using synchronous scan
2022-01-23 20:40:00.602 | WARNING  | project.utils.scan:__show_scan_info:263 - the analysis of this 192.168.253.0/24 has not collected any information or no scan has been performed with it yet
2022-01-25 21:33:55.935 | ERROR    | project.utils.neo.dboperations:query:58 - Query failed
2022-01-25 21:34:20.655 | ERROR    | project.utils.neo.dboperations:query:58 - Query failed
2022-01-25 21:35:47.762 | ERROR    | project.utils.neo.dboperations:query:58 - Query failed
2022-01-25 21:40:06.769 | ERROR    | project.utils.neo.dboperations:query:61 - Query failed
2022-01-25 21:41:08.418 | ERROR    | project.utils.neo.dboperations:query:61 - Query failed
2022-01-25 21:43:38.866 | ERROR    | project.utils.neo.dboperations:query:62 - Query failed
2022-01-25 21:48:08.643 | ERROR    | project.utils.neo.dboperations:query:62 - Query failed
2022-01-25 22:04:50.151 | ERROR    | project.utils.neo.dboperations:query:61 - Query failed
2022-01-26 09:53:59.025 | ERROR    | project.utils.neo.dboperations:query:57 - Query failed
2022-01-26 09:56:54.540 | ERROR    | project.utils.neo.dboperations:query:61 - Query failed
2022-01-26 09:57:22.111 | ERROR    | project.utils.neo.dboperations:query:62 - Query failed
2022-01-26 16:40:03.877 | ERROR    | project.utils.neo.dboperations:query:108 - Query failed
2022-01-26 16:40:04.233 | ERROR    | project.utils.neo.dboperations:query:108 - Query failed
2022-01-26 16:40:04.321 | INFO     | project.utils.scan:__start_scan:514 - Starting to launch threads based on your cpu
2022-01-26 16:40:04.322 | INFO     | project.utils.scan:__synchronous_way:485 - Using synchronous scan
2022-01-26 16:50:36.216 | ERROR    | project.utils.neo.dboperations:query:108 - Query failed
2022-01-26 16:50:41.723 | INFO     | project.utils.scan:__start_scan:514 - Starting to launch threads based on your cpu
2022-01-26 16:50:41.724 | INFO     | project.utils.scan:__synchronous_way:485 - Using synchronous scan
2022-01-26 16:51:44.193 | ERROR    | project.utils.neo.dboperations:query:108 - Query failed
2022-01-26 16:51:45.085 | INFO     | project.utils.scan:__start_scan:514 - Starting to launch threads based on your cpu
2022-01-26 16:51:45.089 | INFO     | project.utils.scan:__synchronous_way:485 - Using synchronous scan
2022-01-26 16:51:47.981 | ERROR    | project.utils.neo.dboperations:query:108 - Query failed
